pagnr,zpsex,zpage,w1_q88,w1_q107,w1_q115,w1_q116,w1_q4,w2_q4,w1_q5x1,w2_q2x1,w1_q6x1,w1_q7,w2_q3,w1_q8,w1_q12,w1_q43,w1_q44,w1_q48x1,w1_q48x2,w1_q48x3,w1_q48x4,w1_q48x5,w1_q48x6,w2_q15,w1_q49,w2_q14,w1_q50,w1_q51,w1_quiz,w2_quiz,w1_q21,w1_q22,w1_q26x1,w1_q26x2,w1_q26x3,w1_q26x4,w1_q26x5,w1_q26x6,w1_q26x7,w1_q26x8,w1_q26x9,w1_q26x10,w1_q26x11,w1_q26x12,w1_q68x1,w1_q76x2,w1_q64x1,w1_q64x2,w1_q64x3,w1_q83x1,w1_q83x6,w1_q83x2,w1_q83x7,w1_q83x3,w1_q83x8,w1_q83x4,w1_q83x9,w1_q83x5,w1_q83x10,w1_q66x1,w1_q66x2,w1_q66x3,w1_q66x4,w1_q68x1,w1_q68x2,w1_q68x3,w2_q33,w2_q34x1,w2_q34x2,w2_q34x3,w2_q34x4,w2_q34x5,w2_q34x6,w2_q34x7,w2_q34x8,w2_q35R1,w2_q35R2,w2_q35R3,w2_q35R4,w2_q35R5,w2_q35R6,w2_q35R7,w2_q35R8,w2_q35R9,w2_q35R10,w2_q35R11,w2_q35R12,w2_q35R13,w2_q35R14,w2_q35R15,w2_q35R88,w2_q35R99,w2_q36,w2_q37x1,w2_q37x2,w2_q37x3,w2_q37x4,w2_q37x5,w2_q37x6,w2_q37x7,w2_q37x8,w2_q38R1,w2_q38R2,w2_q38R3,w2_q38R4,w2_q38R5,w2_q38R6,w2_q38R7,w2_q38R8,w2_q38R9,w2_q38R10,w2_q38R88,w2_q38R99,w2_q39x1,w2_q39x2,w2_q39x3,w2_q39x4,w2_q39x5,w2_q41,w2_q42x1,w2_q42x2,w2_q42x3,w2_q42x4,w2_q43R1,w2_q43R2,w2_q43R3,w2_q43R4,w2_q43R5,w2_q43R6,w2_q43R7,w2_q43R8,w2_q43R9,w2_q43R10,w2_q43R11,w2_q43R12,w2_q43R13,w2_q43R14,w2_q43R15,w2_q43R16,w2_q43R17,w2_q43R88,w2_q43R99,w2_q44,w2_q45,w2_q46,w2_q47,w2_q48,w2_q49,a_immigration_index,strategy
418,2,67,14,5,2,14,2,,11000,,18000,1,,2,6,2,2,5,9,4,1,3,4,,10,,2,,6,,2,0,4,2,3,4,3,4,2,4,2,3,2,2,1,3,4,4,2,4,2,3,2,5,2,2,4,4,2,,3,,4,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1
565,2,65,7,5,2,20,2,3,11000,11000,11000,2,1,2,6,2,3,7,10,1,3,3,2,2,10,4,2,,4,6,3,1,3,2,3,4,5,3,2,4,2,3,1,2,2,4,4,4,2,2,2,2,4,5,1,3,4,4,2,2,3,,4,2,3,2,4,6,3,8,8,8,8,8,8,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,1,8,8,7,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,2,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4.5,1
3508,1,49,7,5,2,20,2,,10000,,18000,1,,2,4,,,5,6,8,4,3,3,,10,,3,,4,,1,1,4,2,2,4,4,5,2,5,2,4,2,1,,4,4,4,2,4,1,3,4,5,2,2,5,2,3,2,2,2,4,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,1
3601,2,22,8,5,2,20,2,2,18000,13000,77777,1,2,2,7,,,7,6,2,2,9,3,2,10,4,6,,6,6,1,1,4,2,2,3,4,3,3,5,2,2,2,4,1,2,4,4,2,5,2,2,5,5,1,1,4,4,2,2,2,3,4,1,1,3,3,3,3,9,8,8,8,8,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,8,8,8,2,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,4,4,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3,1
568,2,31,13,5,2,20,2,,20000,,18000,2,,2,6,2,3,6,9,4,2,3,5,,10,,2,,6,,3,1,4,2,4,3,4,4,3,4,2,2,2,3,1,3,4,4,2,2,3,2,4,4,2,3,3,2,2,3,4,4,4,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,1
1182,2,68,4,1,3,4,4,1,11000,99999,10000,1,12,1,4,,,9,8,4,3,4,2,,10,3,1,,7,4,2,0,4,2,3,2,4,5,1,4,2,4,2,2,3,3,2,4,2,4,1,2,4,5,2,2,4,2,2,4,4,4,4,3,3,3,1,8,8,8,8,8,3,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,1
3796,1,16,2,5,2,20,2,2,20000,99999,13000,6,1,1,6,,,7,8,4,2,7,3,,10,,2,,6,2,1,0,3,2,1,4,4,3,2,5,2,2,2,3,1,2,4,2,2,5,1,2,4,5,1,4,4,4,2,2,3,4,4,1,2,3,2,4,2,3,1,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,5,9,8,8,1,8,3,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,4,4,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,,,,3.5,1
3291,2,40,7,2,2,13,4,4,10000,22000,,12,3,,3,,,10,5,2,0,9,0,,5,1,,,2,1,1,5,2,1,1,2,2,4,1,1,2,3,2,3,2,3,3,5,5,5,1,2,2,5,1,4,4,3,2,4,4,4,4,2,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,8,8,9,9,8,9,8,0,0,0,0,0,0,0,0,0,1,0,0,4,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3.5,4
1884,1,52,7,2,3,16,2,3,11000,,10000,1,,2,6,1,3,9,7,4,3,4,2,,10,4,1,,4,2,2,1,2,2,3,3,5,3,2,5,2,3,1,2,,3,3,3,2,4,2,2,3,4,2,3,4,2,3,2,2,3,3,,4,2,4,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,1,0,0,0,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,4.5,1
56,2,42,7,5,3,4,4,,20000,,10000,2,,4,2,2,2,2,8,4,3,10,1,,5,,6,,0,,2,2,3,1,1,5,5,3,3,5,3,5,2,2,,4,3,3,2,2,4,3,4,1,3,2,4,1,4,3,3,,3,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
1179,2,39,7,1,3,20,3,2,13000,10000,13000,1,12,1,3,,,8,7,2,2,4,4,9,9,4,1,,3,3,1,0,4,2,3,4,3,4,2,5,2,3,1,3,2,3,4,3,2,4,2,2,4,5,2,2,5,2,2,3,4,4,4,2,3,3,1,7,2,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,8,8,8,8,6,8,8,8,0,0,0,0,0,0,0,0,1,0,0,0,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,4,5
1188,1,46,7,3,2,20,2,,13000,,10000,1,,2,4,,,9,6,4,2,5,4,,10,,1,,7,,1,0,4,3,2,4,5,4,1,5,2,3,1,2,3,3,4,4,2,3,3,2,4,5,1,2,3,2,2,2,3,3,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,1
3560,2,65,9,5,3,16,3,3,11000,11000,10000,1,3,1,5,,,10,8,3,3,2,1,1,10,4,1,,7,6,1,0,2,3,2,4,4,5,2,5,2,3,1,2,,3,2,3,1,5,1,2,3,5,2,4,4,3,3,2,2,,4,,,2,2,7,9,8,8,9,8,8,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,8,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,1,4,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4.5,1
3561,2,32,9,5,2,17,3,,13000,,20000,1,,6,5,,,7,6,3,2,8,3,,10,,6,,7,,1,1,4,4,2,4,4,4,2,5,2,3,1,3,2,2,4,2,2,4,2,2,4,5,1,3,4,2,2,2,3,3,4,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1
1183,2,77,7,1,4,3,3,,10000,,18000,1,,1,5,,,6,8,4,2,4,3,,10,,2,,4,,3,0,3,1,3,3,4,5,1,4,2,4,2,2,3,3,4,4,2,5,1,2,4,5,2,2,4,3,2,4,4,4,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3
3507,2,45,14,5,2,20,3,,20000,,10000,6,,1,7,,,6,5,5,2,8,4,,10,,6,,6,,1,2,3,2,2,2,4,3,3,4,2,2,2,2,4,2,4,2,1,5,2,3,4,5,1,2,4,4,2,4,4,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1
3600,1,21,8,1,2,20,3,,10000,,10000,2,,1,6,,,9,7,4,2,8,1,,10,,1,,6,,1,0,3,2,2,4,4,4,2,5,2,3,2,1,1,2,4,4,2,4,2,2,4,5,1,2,4,4,2,2,3,3,4,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,1
2465,1,43,7,1,2,19,2,,11000,,10000,1,,2,6,2,3,7,9,4,3,5,2,,10,,2,,6,,1,0,3,2,3,4,4,4,1,5,3,4,1,2,2,4,3,4,2,5,1,2,3,4,2,4,4,3,2,3,2,3,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,1
1885,2,65,7,3,2,8,3,3,20000,11000,10000,1,1,1,6,1,3,10,8,4,2,5,3,1,10,4,1,,5,6,2,0,3,3,2,2,4,3,2,4,2,4,2,2,2,3,3,4,2,5,2,3,3,5,2,4,3,3,2,4,2,,4,2,3,2,1,7,9,9,9,9,8,8,8,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,1,9,5,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,2,4,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,3
1186,2,66,7,3,3,14,3,3,11000,11000,10000,1,1,1,5,,,9,6,4,3,3,2,1,10,4,1,,6,1,2,0,4,2,2,3,4,4,2,4,2,3,1,2,3,4,4,4,2,4,2,2,3,5,1,3,4,3,2,4,3,,4,3,3,3,2,6,2,1,8,9,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,8,8,8,7,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,1,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4.5,1
1178,2,39,6,3,3,17,4,3,13000,11000,11000,2,1,1,4,,,4,4,0,0,0,6,1,10,4,2,,3,1,2,0,2,4,2,4,2,5,1,3,4,4,1,3,2,4,4,5,1,5,1,1,3,5,1,3,5,3,1,4,4,4,3,2,2,2,3,2,8,9,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,8,8,1,8,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,4,5
1883,2,85,4,2,2,7,3,3,11000,11000,11000,1,1,1,5,1,3,9,7,3,1,4,1,1,8,4,1,,5,5,2,0,3,2,3,1,5,4,1,5,3,3,2,2,2,3,4,5,2,2,2,3,4,4,2,3,4,4,3,3,4,,4,2,3,3,4,4,9,9,8,8,8,8,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,4,4,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,3
233,1,35,7,5,2,8,3,,10000,,10000,2,,2,6,2,3,6,9,4,3,2,6,,10,,2,,6,,3,0,4,2,3,4,3,2,2,4,3,4,2,3,,3,4,4,1,4,2,3,4,5,2,2,4,2,3,3,2,3,4,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,1
191,2,24,9,4,2,7,2,2,13000,12000,22000,,8,6,3,2,3,6,8,0,5,8,,8,10,4,,,7,6,1,4,3,4,4,2,3,1,5,3,1,2,4,5,2,2,4,4,5,4,3,1,4,4,2,3,3,3,2,2,3,2,4,2,2,3,1,4,9,2,8,8,8,8,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,8,8,8,7,9,9,9,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,1,2,4,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,2,1.5,1
2993,1,24,9,1,2,3,2,2,11000,13000,22000,9,6,6,2,6,2,0,5,0,0,10,9,,10,3,6,,3,4,1,2,2,4,1,5,5,1,1,1,1,2,2,5,4,3,5,4,1,2,1,2,2,5,1,3,2,5,1,1,1,2,4,4,2,2,2,4,5,2,8,5,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,8,8,8,3,1,8,8,0,0,0,0,0,0,0,0,1,0,0,0,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,2.5,1
443,1,21,7,4,3,15,2,3,22000,22000,10000,3,12,1,7,3,1,5,0,8,6,1,,,10,1,3,,3,3,2,0,3,1,2,3,2,1,1,1,1,4,1,3,2,3,5,2,1,3,2,4,4,2,1,2,3,3,2,4,4,2,4,2,4,2,3,9,2,9,1,9,1,8,8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,7,8,8,8,8,1,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,4,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,1,1,2,4,2
2382,1,46,8,4,1,17,2,2,10000,99999,17000,2,12,2,5,2,2,2,9,4,1,1,8,,8,3,2,,3,3,1,10,2,5,4,2,5,2,1,3,3,1,1,2,,4,2,3,2,5,1,3,3,3,1,2,5,5,1,4,4,4,4,,3,3,4,8,2,8,8,2,8,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,1,1,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,2,2,2,4.5,1
2269,1,59,14,3,1,5,1,,77777,,77777,1,,12,7,2,2,5,9,0,0,8,0,,10,,2,,6,,1,5,3,3,3,4,2,4,2,1,2,3,2,4,2,4,2,4,4,3,3,2,2,3,3,2,4,2,2,1,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1
3332,2,31,6,1,2,12,3,,10000,,12000,1,,1,2,,,8,3,6,2,3,4,,7,,1,,4,,2,0,3,1,1,4,3,2,2,1,4,3,1,1,,4,4,3,1,2,4,2,4,4,1,3,4,2,2,2,2,2,2,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
1949,1,85,7,5,1,20,2,,11000,,21000,1,,1,2,1,2,9,4,0,0,5,0,,10,,1,,6,,1,8,3,5,2,5,2,3,1,1,1,1,2,5,1,4,2,4,5,2,1,2,4,2,1,2,4,4,2,3,2,2,3,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1
1190,1,40,7,1,1,17,1,2,22000,22000,11000,3,3,3,5,,,5,5,7,0,0,5,3,10,4,3,,5,2,2,0,5,1,1,1,5,,3,5,1,3,1,3,1,4,5,5,5,5,3,4,3,5,1,1,5,3,1,1,1,1,4,1,2,1,1,7,9,9,8,8,2,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,4,8,6,3,8,8,0,0,0,0,0,0,0,0,1,0,0,0,5,4,3,5,5,3,3,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,,,,4,1
76,2,57,7,4,3,4,2,,11000,,10000,9,,,4,3,2,0,0,10,2,0,10,,8,,3,,5,,2,0,2,1,1,5,5,5,1,1,2,1,1,1,3,4,5,4,2,2,4,3,3,3,2,3,3,3,4,4,3,4,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1
2955,2,27,13,4,1,,3,,11000,,13000,1,,6,3,6,3,7,3,0,0,8,0,,10,,6,,4,,1,3,5,2,4,5,2,1,4,4,3,1,4,5,4,2,4,5,5,4,3,4,3,4,2,4,3,5,1,3,3,4,4,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,5
45,1,26,8,4,2,3,2,3,10000,11000,15000,,,2,6,,,5,5,5,3,5,6,2,10,4,,,6,4,,2,2,1,3,3,,3,2,1,3,2,2,3,2,3,3,4,4,4,2,4,3,3,3,2,3,1,2,2,2,3,4,2,2,2,2,3,5,4,,8,1,8,6,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,7,8,2,8,3,1,8,8,0,0,0,0,0,0,0,0,0,1,0,0,1,4,5,5,5,1,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,2,1,2,3.5,1
1954,2,80,4,5,2,5,3,4,10000,,22000,1,,12,5,1,2,8,5,6,,0,0,3,10,4,1,,2,0,,0,2,2,1,5,,1,3,2,1,,1,1,2,5,1,4,4,1,1,5,5,5,1,1,5,1,4,4,4,4,4,2,4,3,4,3,8,8,8,8,2,8,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,4,1,8,8,8,1,8,8,9,0,0,0,0,0,0,0,0,0,1,0,0,4,5,4,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,5,3
420,1,20,4,4,1,14,1,,11000,,21000,2,,12,6,2,2,5,10,0,0,8,2,,10,,2,,2,,1,2,2,2,4,1,5,1,2,5,2,3,3,4,1,2,2,,1,2,1,2,5,3,2,3,4,5,1,1,1,3,4,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1
24,2,20,9,4,2,2,2,1,13000,13000,10000,12,6,11,2,1,3,10,8,0,3,10,2,6,10,5,,,5,5,3,5,4,1,2,1,3,1,1,2,3,3,4,5,2,3,4,3,5,2,3,1,4,2,2,4,2,5,1,2,3,3,4,2,2,3,2,3,8,5,8,8,2,2,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,8,8,8,7,7,8,8,0,0,0,0,0,0,0,0,0,1,0,0,4,4,5,5,5,1,2,1,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,,,,1.5,1
3334,1,65,7,1,2,18,1,2,22000,99999,77777,2,6,1,5,,,5,5,3,0,0,5,3,10,4,,,4,3,3,0,1,1,4,5,5,1,1,1,4,1,1,2,2,5,3,2,1,4,1,2,4,5,1,1,5,5,1,2,2,3,4,2,3,2,1,5,2,8,,8,8,8,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,8,8,8,7,8,8,8,0,0,0,0,0,0,0,0,1,0,0,0,4,4,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4.5,1
1824,2,46,7,5,2,18,2,,11000,,11000,3,,1,3,1,2,9,0,1,0,8,0,,10,,1,,5,,2,0,4,1,2,4,2,5,1,4,1,4,1,1,,5,4,4,1,4,1,2,3,3,4,4,4,4,1,1,2,2,2,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1
1834,2,73,7,4,2,6,2,2,10000,,17000,12,,,3,1,2,8,,0,0,0,0,2,10,4,1,,5,2,1,2,3,4,3,4,5,2,1,2,1,2,1,3,,5,2,4,5,5,1,1,4,4,1,5,5,5,1,2,4,4,4,,,4,1,7,3,8,8,3,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,8,8,8,7,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,1,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,1
229,2,82,3,4,2,8,2,2,11000,10000,21000,3,1,,7,1,1,10,0,2,0,0,0,,10,1,1,,3,3,3,2,4,2,1,1,,,1,,1,4,1,1,2,5,2,4,,1,3,3,5,5,1,4,1,4,3,4,4,4,4,2,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,8,8,8,5,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,5,2
734,1,65,7,4,2,,2,3,10000,12000,10000,12,12,12,6,,,5,4,3,2,5,,,0,3,,,2,5,3,5,2,1,1,4,5,,1,1,1,4,1,1,3,5,2,1,5,4,3,3,4,5,2,4,5,1,3,3,2,3,4,3,4,3,4,3,1,9,1,8,8,8,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,5,1
4697,2,48,8,4,3,6,1,1,10000,10000,11000,7,1,1,1,7,1,10,0,2,0,8,,1,10,4,6,,6,4,3,8,3,1,1,4,1,2,1,1,1,2,1,3,1,4,5,1,1,5,2,1,2,5,1,4,4,1,2,1,1,1,1,1,1,1,1,9,3,3,8,9,2,7,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,8,8,5,5,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,1,4,5,5,5,1,1,5,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,4,2
1941,1,30,12,3,2,12,1,1,13000,11000,12000,1,2,6,3,1,2,8,1,0,0,8,1,2,10,4,1,,5,5,3,3,5,2,1,2,4,1,1,2,3,2,3,4,3,2,4,5,5,4,1,1,1,2,3,2,4,1,2,1,1,1,3,3,1,2,,,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,8,8,9,8,3,1,3,9,0,0,0,0,0,0,0,0,0,1,0,0,5,4,4,2,4,1,1,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,2,2,2.5,1
1185,1,17,2,5,2,20,3,,13000,,20000,1,,6,6,,,7,8,3,2,6,4,,10,,2,,5,,1,0,3,3,2,4,4,4,2,5,2,3,2,2,2,3,2,4,2,4,2,2,4,5,1,2,4,4,2,3,3,3,4,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5
3333,1,19,7,1,3,16,3,,11000,,22000,3,,3,6,,,4,2,10,0,0,0,,10,,3,,2,,2,2,3,2,1,5,5,1,3,5,5,2,,1,1,5,3,5,1,3,1,5,2,3,1,1,4,3,1,3,2,2,4,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3183,1,45,6,4,2,,1,,20000,,10000,6,,7,3,7,2,8,4,6,2,0,5,,10,,7,,4,,2,0,3,3,5,5,5,5,5,5,1,3,1,1,3,5,5,5,5,5,1,1,3,1,3,1,5,1,1,1,1,1,1,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1
1956,1,15,4,1,2,14,3,,13000,,11000,,,1,5,1,2,8,3,2,3,5,1,,,,,1,2,,3,0,3,2,2,2,3,1,1,1,3,3,1,1,1,4,3,3,1,3,4,1,3,2,1,1,2,2,2,3,3,1,4,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4
2365,1,25,8,4,2,7,2,,11000,,20000,2,,6,5,2,2,4,9,0,0,6,4,,10,,2,,5,,3,5,4,2,1,3,3,1,3,4,1,3,3,5,3,3,5,5,5,2,2,2,2,4,1,4,3,5,1,2,1,3,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
3544,2,49,7,5,2,12,3,,11000,,21000,2,,6,6,,,5,3,5,6,7,4,,10,,6,,2,,2,0,3,3,2,5,3,1,1,2,2,3,1,1,3,3,3,3,5,1,4,3,5,5,1,1,3,3,1,3,4,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4
2368,2,60,7,4,4,4,1,1,10000,22000,11000,2,12,2,5,2,1,0,10,0,0,0,0,2,10,4,2,,5,5,1,0,4,1,1,4,3,1,1,1,1,3,1,1,2,5,5,5,1,1,2,2,5,5,1,5,3,5,2,2,,,2,2,4,,1,7,2,8,8,8,8,8,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,8,8,8,7,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,5,2
